loc_acc_x,loc_acc_y,stamp
-9.908003403519719e-06,0.0,1759203762998436531
-6.122303235911091e-06,0.0,1759203763015846147
-8.27212134347613e-06,0.0,1759203763038720014
-4.288617585152507e-06,0.0,1759203763055845561
-3.0912070450808283e-07,0.0,1759203763076700518
-1.1665457182933971e-05,0.0,1759203763096615222
-3.343501547016312e-07,0.0,1759203763116319234
-1.0572927704148791e-05,0.0,1759203763136950793
1.1526080771618063e-06,0.0,1759203763156856593
1.842558033460487e-06,0.0,1759203763176002988
-3.117774217868827e-06,0.0,1759203763197395802
1.5712466697580992e-06,0.0,1759203763215418461
-2.3517718108935457e-06,0.0,1759203763237505558
2.3273790425720305e-06,0.0,1759203763255663095
3.871298012785255e-06,0.0,1759203763276877175
-6.183756004306205e-06,0.0,1759203763296932245
3.1411859930027435e-06,0.0,1759203763316594735
-2.0146050711242805e-06,0.0,1759203763336846587
3.0943588793107967e-06,0.0,1759203763356753774
3.901724511641196e-06,0.0,1759203763375556841
-1.766612402066116e-07,0.0,1759203763397687846
3.103218852344631e-06,0.0,1759203763415528861
1.9939744130740952e-07,0.0,1759203763438367818
3.6076472812509097e-06,0.0,1759203763455550468
4.528554979257232e-06,0.0,1759203763477039739
-1.3263833152645736e-06,0.0,1759203763496546276
1.0743702684277465e-06,0.0,1759203763515799188
-1.2489211730762786e-06,0.0,1759203763538455302
1.5198883561161396e-06,0.0,1759203763555880285
4.465882258091919e-06,0.0,1759203763576315527
1.5915673173260078e-05,0.0,1759203763596666267
4.4242378672207564e-06,0.0,1759203763616202478
1.3701347855967626e-05,0.0,1759203763637149347
1.8359698241919407e-06,0.0,1759203763656362180
9.06794761046875e-07,0.0,1759203763676387316
5.295382393887901e-06,0.0,1759203763698262473
2.115777378809885e-06,0.0,1759203763715811480
4.3223991093301645e-06,0.0,1759203763737470061
1.2529118389469158e-06,0.0,1759203763755954022
-2.073106015041604e-06,0.0,1759203763776724990
9.043824689769856e-06,0.0,1759203763796890612
-1.7960743212400508e-06,0.0,1759203763816418938
8.658783515038578e-06,0.0,1759203763836482990
-2.2189911856331224e-06,0.0,1759203763856849134
3.3063893866791876e-05,0.0,1759203763877373363
-3.0876577617765806e-06,0.0,1759203763896683783
-6.748949592348024e-06,0.0,1759203763916044996
-2.355062478129242e-06,0.0,1759203763937778503
-6.478760136386628e-06,0.0,1759203763955718231
-7.539122907908734e-06,0.0,1759203763977161349
2.7638686541450187e-06,0.0,1759203763996725602
-6.078276080619673e-06,0.0,1759203764016229505
2.863085150326391e-06,0.0,1759203764037220010
-6.3300016700381875e-06,0.0,1759203764056744735
-6.798119781237189e-06,0.0,1759203764075791456
5.976408624806902e-06,0.0,1759203764096882054
-6.319624800014954e-06,0.0,1759203764116279436
3.4868985034200146e-06,0.0,1759203764137092444
-6.937605205025251e-06,0.0,1759203764156599005
5.595968241556097e-06,0.0,1759203764177847129
-4.938987397935312e-06,0.0,1759203764195612070
-6.564255414850472e-06,0.0,1759203764215739995
-1.4218924168971236e-05,0.0,1759203764237377146
-1.0557766049366018e-05,0.0,1759203764255871174
-6.723514150930974e-06,0.0,1759203764276367395
-1.5992815395076958e-05,0.0,1759203764297667591
-4.604794695787295e-06,0.0,1759203764316647193
-1.3662304689934904e-05,0.0,1759203764337410952
-2.045364907058275e-06,0.0,1759203764356512047
3.0071931590509897e-05,0.0,1759203764376777443
1.1139072983587655e-06,0.0,1759203764396582847
-9.630044330992172e-07,0.0,1759203764415787264
1.4010169387897863e-06,0.0,1759203764437777159
-1.1073359992563806e-06,0.0,1759203764455620632
9.433885812750317e-06,0.0,1759203764477933510
1.9576486612694826e-06,0.0,1759203764495621623
-5.771688165907546e-06,0.0,1759203764516495876
2.9856841514378684e-06,0.0,1759203764536856623
-5.725256764979636e-06,0.0,1759203764556384756
2.640089499612765e-05,0.0,1759203764576695128
-4.107785123684585e-06,0.0,1759203764596852097
-7.305379886350853e-06,0.0,1759203764615607525
-3.3509546910986233e-06,0.0,1759203764637726568
-6.902395808522682e-06,0.0,1759203764655699918
-7.73822812405426e-06,0.0,1759203764677005471
1.4640743047656492e-06,0.0,1759203764696636161
-6.0372557977543585e-06,0.0,1759203764716748829
-1.1923364646025264e-06,0.0,1759203764736806466
-5.332390452586183e-06,0.0,1759203764756516723
9.075389589839502e-06,0.0,1759203764776971922
1.9741932273094836e-06,0.0,1759203764796143134
-6.220994354070504e-06,0.0,1759203764816498066
