#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
219.7640005,89659.5654109336,43186.44998300552,-2.0055394,-0.2815755,6.5281955,-0.1997688
220.7629278,89660.18534127167,43185.91743372583,-2.2192658,-0.2237839,6.4975555,2.3543442
221.7618551,89660.75418872651,43185.27252822829,-2.4456763,-0.2112229,6.8499537,1.8690797
222.7607823,89661.25516754846,43184.525417314864,-2.6417495,-0.1542231,7.1173039,-1.5503577
223.7597096,89661.84855257178,43183.63289251471,-2.7939107,-0.1534404,6.8962762,-0.6047354
224.7586369,89662.11505426618,43182.8105305175,-2.9821197,-0.2505376,6.8081166,-0.2405902
225.7575642,89662.25432368493,43181.95355659389,3.0389736,-0.2067597,6.7727238,-0.3065115
226.7564914,89662.24366117432,43181.12380190209,2.9448732,-0.0471853,6.7273637,-0.2101759
227.7554187,89662.10041432828,43180.28774923763,2.7730262,-0.267633,6.6960826,-0.2101759
228.754346,89661.82828918728,43179.48535607626,2.5288956,-0.1708341,6.6646546,4.2037498
229.7532733,89661.43589783188,43178.7377239307,2.4041071,-0.1125003,7.2674687,5.0524245
230.7522005,89660.93169776192,43178.06771561967,2.2932321,-0.105283,7.9315894,3.2678946
231.7511278,89660.27642675593,43177.497246975356,2.1724588,-0.1162634,8.333,0.0
232.7500551,89659.3778356567,43176.89420831394,2.0588612,-0.1064077,8.333,0.0
233.7489824,89658.3642221347,43176.32692951807,1.954735,-0.102921,8.333,0.0
234.7479096,89657.22066565444,43175.76288485502,1.8537506,-0.1042225,8.333,0.0
235.7468369,89655.95666044168,43175.140976788396,1.7754022,-0.042722,8.333,0.0
236.7457642,89654.67061326014,43174.59399347576,1.7720009,0.038813,8.333,0.0
237.7446915,89653.65869557517,43174.1734647447,1.848504,0.0983721,8.333,0.0
238.7436187,89652.64677789022,43173.75293601365,1.9313285,0.0708075,8.333,0.0
239.742546,89651.63486020525,43173.332407282585,1.9866749,0.0394454,8.333,0.0
240.7414733,89650.62294252028,43172.91187855152,2.0178874,0.0341663,8.333,0.0
241.7404006,89649.6110248353,43172.49134982047,2.0597332,0.0505652,8.333,0.0
242.7393278,89648.60717461219,43172.01426380013,2.1200886,0.0685987,8.333,0.0
243.7382551,89647.80783218614,43171.46054434623,2.2012556,0.0836976,8.333,-2.0023872
244.7371824,89647.03457462149,43170.87814730437,2.2950232,0.0980379,8.0894011,-4.5277909
245.7361097,89646.40133264205,43170.22899790275,2.4085339,0.137191,7.5094968,-0.6416836
246.7350369,89645.91634347918,43169.50523508583,2.5785697,0.2107881,7.4236482,-0.2559339
247.7339642,89645.58601810073,43168.70385344558,2.8057877,0.2197833,7.3891294,-0.2559339
248.7328915,89645.48138904177,43167.797019432604,2.9851212,0.1490634,7.3544487,1.4884464
249.7318188,89645.54555329897,43166.84971141739,-3.125645,0.210299,7.5539138,-0.2674763
250.730746,89645.76647105963,43165.88157642974,-2.9062761,0.2101476,7.5184597,-0.1440328
251.7296733,89646.13893051547,43164.9226487144,-2.731163,0.1425235,7.4992986,3.7209288
252.7286006,89646.63378584139,43164.025506680926,-2.6096133,0.1069489,7.9795585,2.8858635
253.7275279,89647.16518426417,43163.24109323179,-2.5044683,0.0987716,8.333,0.0
254.7264551,89647.71747878754,43162.457569302,-2.4062597,0.0955546,8.333,0.0
255.7253824,89648.36511880223,43161.886480894565,-2.3158386,0.0858135,8.333,0.0
256.7243097,89649.07971968225,43161.40147985342,-2.2360094,0.0724387,8.333,0.0
257.723237,89649.8527391095,43160.99004018492,-2.1625814,0.0806406,8.333,0.0
258.7221642,89650.66493893976,43160.62852011572,-2.0767701,0.0918894,8.333,0.0
259.7210915,89651.5000000438,43160.31034450476,-1.9781013,0.1017687,8.333,0.0
260.7200188,89652.36177595767,43160.03780319435,-1.8762387,0.1022492,8.333,0.0
261.7189461,89653.21074360338,43159.79142955733,-1.7759001,0.1010932,8.333,0.0
262.7178733,89654.0778391095,43159.6140874138,-1.6737645,0.1013401,8.333,0.0
263.7168006,89655.10963639889,43159.64448211782,-1.5690652,0.097691,8.333,0.0
264.7157279,89656.14585871078,43159.68287108033,-1.4696985,0.0940749,8.333,-1.2215395
265.7146552,89657.32075831036,43159.81207273375,-1.3679992,0.1107811,8.1852569,-1.9178865
266.7135824,89658.46104516592,43160.05097300268,-1.2452012,0.1642985,7.9477527,-0.950174
267.7125097,89659.51199969156,43160.39541689444,-1.0448909,0.1850385,7.8274174,-0.3363097
268.711437,89660.43421273582,43160.866766981,-0.8955543,0.1106219,7.7843796,-3.3848838
269.7103643,89661.21731385737,43161.48710163306,-0.809159,0.1647185,7.3371697,-0.2500059
270.7092915,89661.77203806228,43162.283573507746,-0.5963983,0.2249947,7.3030531,-0.2500059
271.7082188,89662.30736077062,43163.08504763017,-0.4349429,0.0832581,7.2687763,5.0523354
272.7071461,89662.72595813201,43164.24245505431,-0.4008326,-0.0015669,7.9327763,3.2584698
273.7060734,89663.10896760706,43165.50780608406,-0.4326988,-0.0572229,8.333,0.0
274.7050006,89663.48085228242,43166.97170168556,-0.5102842,-0.0586849,8.333,-6.6615429
275.7039279,89663.87035385071,43168.17483887363,-0.5539431,-0.0210954,7.4920021,-10.119982
276.7028552,89664.25510969674,43168.93799938739,-0.5461314,0.0570384,5.9926491,-0.1667749
277.7017825,89664.98520569483,43169.69741551276,-0.5771418,-0.3372809,5.9647842,-0.1667749
278.7007097,89665.60093735349,43170.30813952327,-0.9437093,-0.2053688,5.9367886,4.596469
279.699637,89666.28127386377,43170.80559451978,-1.0623084,-0.0953291,6.6654734,5.0917412
280.6985643,89667.0340813396,43171.18260285172,-1.1625467,-0.1041874,7.3892553,3.5937935
